,Dep_Airport,mean_arr_delay,Mkt_Ccode,Mkt_Fl_No,Arr_Airport_x,Date,Day_Week,Sched_Dep_Time_OAG,Gate_Dep_Time_Actual,Sched_Arr_Time_OAG,Gate_Arr_Time_Actual,Sched_Elapsed_Time_CRS,Actual_Gate_Gate_Time,Dep_Delay_Time_Actual,Arr_Delay_Time_Actual,Elapsed_Time_Diff_Actual,Wheels_Off_Time_Actual,Wheels_On_Time_Actual,Tail_Number,Cancel_Code,Mins_Late_Delay_Code_E_Carrier,Mins_Late_Delay_Code_F_Weather,Mins_Late_Delay_Code_G_NAS,Mins_Late_Delay_Code_H_Security,Mins_Late_Delay_Code_I_Late_Arr_Flight,First_Gate_Dep_Time,Total_Ground_Away_From_Gate,Longest_Ground_Time_Away_From_Gate,No_Landings_At_Div_Airport,month,Arr_Delay_Time_Actual_Flag,Sched_Dep_Time_OAG_Block,Airport Name_x,city_name,Country name_x,Arr_Airport_y,lat,lng,City name_y,Airport Code,Airport Name_y,country_name,Country Abbrev.,World Area Code,Arr_Airport
133872,MTJ,13.31496062992126,UA,4744.0,DEN,20180215,thu,925,924,1039,1013,74,49,-1,-26,-25,933,1004,N12136,,0,0,0,0,0,0,0,0,0,feb,0,late_morning,Montrose Regional Airport,Montrose CO,United States,MTJ,38.50979996,-107.8939972,Montrose,MTJ,Montrose County,United States,US,67,MTJ
133999,MYR,-2.4583333333333335,AA,5903.0,DFW,20180104,thu,1125,0,1345,0,200,0,0,0,0,0,0,N920FJ,B,0,0,0,0,0,0,0,0,0,jan,0,late_morning,Myrtle Beach International Airport,Myrtle Beach,United States,MYR,33.67969894,-78.92829895,Myrtle Beach,MYR,Myrtle Beach AFB,United States,US,67,MYR
134023,OAJ,-4.121951219512195,DL,3311.0,ATL,20180224,sat,550,545,733,714,103,89,-5,-19,-14,604,706,N294PQ,,0,0,0,0,0,0,0,0,0,feb,0,early_morning,Albert J Ellis Airport,Jacksonville NC,United States,OAJ,34.82920074,-77.61209869,Jacksonville,OAJ,Albert J Ellis,United States,US,67,OAJ
134105,OAK,-2.7509349289454,WN,2574.0,BUR,20180121,sun,1935,1931,2040,2030,65,59,-4,-10,-6,1941,2028,N7832A,,0,0,0,0,0,0,0,0,0,jan,0,evening,Metropolitan Oakland International Airport,Oakland,United States,OAK,37.721298,-122.221001,Oakland,OAK,Metropolitan Oak Intl,United States,US,67,OAK
135442,OGG,-2.749185667752443,AS,862.0,PDX,20180214,wed,1300,1241,2014,2016,314,335,-19,2,21,1256,2013,N588AS,,0,0,0,0,0,0,0,0,0,feb,1,early_afternoon,Kahului Airport,Kahului,United States,OGG,20.8986,-156.429993,Kahului,OGG,Kahului,United States,US,67,OGG
135749,OKC,4.2311643835616435,UA,6075.0,IAD,20180103,wed,750,746,1137,1133,167,167,-4,-4,0,757,1129,N80343,,0,0,0,0,0,0,0,0,0,jan,0,morning,Will Rogers World Airport,Oklahoma City,United States,OKC,35.39310074,-97.60070038,Oklahoma City,OKC,Will Rogers World,United States,US,67,OKC
136333,OMA,3.822495606326889,WN,3670.0,DEN,20180106,sat,1840,1913,1920,1944,100,91,33,24,-9,1921,1938,N8670A,,0,0,0,0,24,0,0,0,0,jan,1,evening,Eppley Airfield,Omaha,United States,OMA,41.3032,-95.89409599999999,Omaha,OMA,Eppley Airfield,United States,US,67,OMA
136902,OME,7.681818181818182,AS,153.0,ANC,20180204,sun,2030,2027,2155,2148,85,81,-3,-7,-4,2030,2144,N562AS,,0,0,0,0,0,0,0,0,0,feb,0,evening,Nome Airport,Nome,United States,OME,64.5121994,-165.44500730000001,Nome,OME,Nome,United States,US,67,OME
136968,ONT,-0.06589785831960461,AA,1878.0,PHX,20180225,sun,1608,1611,1840,1819,92,68,3,-21,-24,1624,1815,N801AW,,0,0,0,0,0,0,0,0,0,feb,0,late_afternoon,Ontario International Airport,Ontario,United States,ONT,34.05599976,-117.60099790000001,Ontario,ONT,International,United States,US,67,ONT
137575,ORD,13.138494167550371,AA,1487.0,DEN,20180203,sat,2015,2023,2157,2152,162,149,8,-5,-13,2037,2144,N891NN,,0,0,0,0,0,0,0,0,0,feb,0,evening,Chicago O'Hare International Airport,Chicago,United States,ORD,41.9786,-87.9048,Chicago,ORD,Ohare International,United States,US,1,ORD
147005,ORF,5.909199522102748,AA,4205.0,PHL,20180129,mon,615,603,727,715,72,72,-12,-12,0,617,706,N452AW,,0,0,0,0,0,0,0,0,0,jan,0,morning,Norfolk International Airport,Norfolk,United States,ORF,36.89459991,-76.20120239,Norfolk,ORF,International,United States,US,67,ORF
147842,ORH,27.53846153846154,B6,1887.0,MCO,20180224,sat,1653,1638,2006,1932,193,174,-15,-34,-19,1647,1919,N358JB,,0,0,0,0,0,0,0,0,0,feb,0,late_afternoon,Worcester Regional Airport,Worcester,United States,ORH,42.26729965,-71.87570190000001,Worcester,ORH,Worcester,United States,US,67,ORH
147881,OTZ,-4.072727272727272,AS,154.0,ANC,20180219,mon,834,821,1005,1009,91,108,-13,4,17,842,1000,N611AS,,0,0,0,0,0,0,0,0,0,feb,1,morning,Ralph Wien Memorial Airport,Kotzebue,United States,OTZ,66.88469696,-162.598999,Kotzebue,OTZ,Kotzebue,United States,US,67,OTZ
147936,PBI,1.0789229340761375,AA,1423.0,DFW,20180218,sun,715,710,934,919,199,189,-5,-15,-10,722,900,N914NN,,0,0,0,0,0,0,0,0,0,feb,0,morning,Palm Beach International Airport,West Palm Beach,United States,PBI,26.68320084,-80.09559631,West Palm Beach,PBI,International,United States,US,67,PBI
149013,PDX,-7.892093485827946,AS,782.0,MCO,20180219,mon,630,621,1455,1518,325,357,-9,23,32,654,1512,N278AK,,0,0,23,0,0,0,0,0,0,feb,1,morning,Portland International Airport,Portland,United States,PDX,45.58869934,-122.59799960000001,Portland,PDX,Portland International,United States,US,67,PDX
151024,PHF,-1.0,AA,4716.0,CLT,20180105,fri,525,0,650,0,85,0,0,0,0,0,0,N115HQ,B,0,0,0,0,0,0,0,0,0,jan,0,early_morning,Newport News Williamsburg International Airport,Newport News,United States,PHF,37.13190079,-76.49299622,Williamsburg,PHF,Newport News/Williamsb,United States,US,67,PHF
151030,PHL,5.377366930073058,AA,706.0,SEA,20180226,mon,1830,1834,2150,2153,380,379,4,3,-1,1905,2138,N922US,,0,0,0,0,0,0,0,0,0,feb,1,evening,Philadelphia International Airport,Philadelphia,United States,PHL,39.87189865,-75.2410965,Philadelphia,PHL,Philadelphia International,United States,US,67,PHL
157737,PHX,0.1621091194557111,B6,602.0,BOS,20180213,tue,2359,5,643,613,284,248,6,-30,-36,15,609,N763JB,,0,0,0,0,0,0,0,0,0,feb,0,late_evening,Phoenix Sky Harbor International Airport,Phoenix,United States,PHX,33.43429947,-112.012001,Phoenix,PHX,Sky Harbor Intl,United States,US,67,PHX
165380,PIA,23.037735849056602,DL,3387.0,ATL,20180223,fri,1105,1059,1400,1341,115,102,-6,-19,-13,1109,1335,N832AY,,0,0,0,0,0,0,0,0,0,feb,0,late_morning,General Wayne A. Downing Peoria International Airport,Peoria,United States,PIA,40.66419983,-89.69329834,Peoria,PIA,Greater Peoria,United States,US,67,PIA
165592,PIT,2.0943775100401605,DL,3712.0,JFK,20180220,tue,1600,1634,1741,1800,101,86,34,19,-15,1646,1750,N921XJ,,0,0,0,0,19,0,0,0,0,feb,1,late_afternoon,Pittsburgh International Airport,Pittsburgh,United States,PIT,40.49150085,-80.23290253,Pittsburgh,PIT,Pittsburgh International Airport,United States,US,67,PIT
167584,PNS,0.12217194570135746,WN,2066.0,BNA,20180106,sat,900,854,1020,1007,80,73,-6,-13,-7,902,1002,N7852A,,0,0,0,0,0,0,0,0,0,jan,0,late_morning,Pensacola Regional Airport,Pensacola,United States,PNS,30.47340012,-87.18659973,Pensacola,PNS,Regional,United States,US,67,PNS
167805,PSE,-7.5476190476190474,B6,746.0,JFK,20180228,wed,503,453,813,830,250,277,-10,17,27,511,818,N663JB,,0,0,17,0,0,0,0,0,0,feb,1,early_morning,Mercedita Airport,Ponce,Puerto Rico,PSE,18.00830078,-66.56300354,Ponce,PSE,Mercedita,Puerto Rico,PR,3,PSE
167847,PSG,-6.2407407407407405,AS,65.0,JNU,20180223,fri,1213,1159,1254,1240,41,41,-14,-14,0,1212,1237,N614AS,,0,0,0,0,0,0,0,0,0,feb,0,early_afternoon,Petersburg James A Johnson Airport,Petersburg,United States,PSG,56.80170059,-132.9450073,Petersburg,PSG,Municipal,United States,US,67,PSG
167901,PSP,18.265372168284788,AA,2307.0,DFW,20180226,mon,1420,1421,1913,1902,173,161,1,-11,-12,1441,1847,N973NN,,0,0,0,0,0,0,0,0,0,feb,0,early_afternoon,Palm Springs International Airport,Palm Springs,United States,PSP,33.82970047,-116.50700379999999,Palm Springs,PSP,Municipal,United States,US,67,PSP
168210,PVD,2.966159052453469,AA,4472.0,PHL,20180105,fri,1300,1256,1423,1424,83,88,-4,1,5,1315,1418,N104HQ,,0,0,0,0,0,0,0,0,0,jan,1,early_afternoon,Theodore Francis Green State Airport,Providence,United States,PVD,41.732601,-71.42040300000001,Providence,PVD,T. F. Green Airport,United States,US,67,PVD
168801,PWM,2.683291770573566,AA,4279.0,PHL,20180106,sat,1250,1243,1428,1405,98,82,-7,-23,-16,1253,1359,N449AW,,0,0,0,0,0,0,0,0,0,jan,0,early_afternoon,Portland International Jetport Airport,Portland,United States,PWM,43.64619827,-70.30930328,Portland,PWM,Intl Jetport,United States,US,67,PWM
169202,RAP,11.859504132231406,UA,4705.0,DEN,20180206,tue,1155,1155,1313,1315,78,80,0,2,2,1214,1307,N13123,,0,0,0,0,0,0,0,0,0,feb,1,late_morning,Rapid City Regional Airport,Rapid City,United States,RAP,44.04529953,-103.0569992,Rapid City,RAP,Regional,United States,US,67,RAP
169323,RDU,0.716021602160216,AA,1861.0,CLT,20180210,sat,1939,1933,2047,2043,68,70,-6,-4,2,1954,2033,N953UW,,0,0,0,0,0,0,0,0,0,feb,0,evening,Raleigh Durham International Airport,Raleigh-durham,United States,RDU,35.87760162,-78.78749847,Raleigh/Durham,RDU,Raleigh-Durham International Airport,United States,US,67,RDU
171545,RIC,5.037698412698413,AA,2314.0,DFW,20180227,tue,707,658,940,942,213,224,-9,2,11,714,925,N952AA,,0,0,0,0,0,0,0,0,0,feb,1,morning,Richmond International Airport,Richmond,United States,RIC,37.50519943,-77.31970215,Richmond,RIC,Intl (Byrd Field),United States,US,67,RIC
172049,RNO,3.469437652811736,AA,2409.0,DFW,20180209,fri,1355,1354,1912,1905,197,191,-1,-7,-6,1408,1843,N995NN,,0,0,0,0,0,0,0,0,0,feb,0,early_afternoon,Reno Tahoe International Airport,Reno,United States,RNO,39.49909973,-119.7679977,,,,,,,
172458,ROA,24.19298245614035,UA,3823.0,ORD,20180101,mon,1720,1823,1826,1915,126,112,63,49,-14,1836,1907,N420AW,,0,0,0,0,49,0,0,0,0,jan,1,late_afternoon,RoanokeBlacksburg Regional Airport,Roanoke VA,United States,ROA,37.3255,-79.975403,Roanoke,ROA,Municipal,United States,US,67,ROA
172572,ROC,9.705479452054794,WN,763.0,BWI,20180113,sat,600,0,725,0,85,0,0,0,0,0,0,,B,0,0,0,0,0,0,0,0,0,jan,0,morning,Greater Rochester International Airport,Rochester,United States,ROC,43.1189003,-77.67240143,Rochester,ROC,Monroe County,United States,US,67,ROC
173156,ROP,-4.857142857142857,UA,6391.0,GUM,20180215,thu,1435,1435,1510,1515,35,40,0,5,5,1445,1510,N45838,,0,0,0,0,0,0,0,0,0,feb,1,early_afternoon,Rota International Airport,Rota,Northern Mariana Islands,ROP,14.17430019,145.2429962,Rota,ROP,Rota,Northern Mariana Islands,MP,5,ROP
173184,ROW,0.0,AA,5865.0,DFW,20180101,mon,1010,0,1238,0,88,0,0,0,0,0,0,N242LR,B,0,0,0,0,0,0,0,0,0,jan,0,late_morning,Roswell International Air Center Airport,Roswell,United States,ROW,33.30160141,-104.53099820000001,Roswell,ROW,Industrial,United States,US,67,ROW
173186,RST,16.81578947368421,UA,3843.0,ORD,20180114,sun,1135,1125,1243,1256,68,91,-10,13,23,1200,1251,N440AW,,0,0,0,0,0,0,0,0,0,jan,1,late_morning,Rochester International Airport,Rochester,United States,RST,43.90829849,-92.5,Rochester,RST,Municipal,United States,US,67,RST
173262,RSW,1.9843478260869565,B6,466.0,BOS,20180222,thu,1003,948,1305,1231,182,163,-15,-34,-19,956,1226,N507JB,,0,0,0,0,0,0,0,0,0,feb,0,late_morning,Southwest Florida International Airport,Fort Myers,United States,RSW,26.53619957,-81.75520325,Fort Myers,RSW,Southwest Florida Reg,United States,US,67,RSW
174412,SAF,3.029850746268657,UA,4797.0,DEN,20180214,wed,735,723,855,847,80,84,-12,-8,4,734,829,N11106,,0,0,0,0,0,0,0,0,0,feb,0,morning,Santa Fe Municipal Airport,Santa Fe,United States,SAF,35.61709976,-106.0889969,Santa Fe,SAF,Santa Fe,United States,US,67,SAF
174479,SAN,-0.0366098294884654,AA,2181.0,DFW,20180225,sun,1049,1135,1548,1630,179,175,46,42,-4,1206,1625,N933AM,,0,0,0,0,42,0,0,0,0,feb,1,late_morning,San Diego International Airport,San Diego,United States,SAN,32.73360062,-117.1900024,San Diego,SAN,Lindberg Fld S. Diego,United States,US,67,SAN
176473,SAT,-0.14807692307692308,AA,1573.0,ORD,20180225,sun,810,807,1103,1043,173,156,-3,-20,-17,827,1034,N972TW,,0,0,0,0,0,0,0,0,0,feb,0,morning,San Antonio International Airport,San Antonio,United States,SAT,29.53370094,-98.46980286,San Antonio,SAT,San Antonio International,United States,US,67,SAT
177513,SAV,5.873508353221957,UA,4703.0,IAD,20180223,fri,1002,958,1145,1143,103,105,-4,-2,2,1011,1133,N13132,,0,0,0,0,0,0,0,0,0,feb,0,late_morning,Savannah Hilton Head International Airport,Savannah,United States,SAV,32.12760162,-81.20210266,Savannah,SAV,Savannah/Hilton Head,United States,US,67,SAV
177932,SBA,0.3693181818181818,AA,5959.0,PHX,20180123,tue,1609,1601,1857,1834,108,93,-8,-23,-15,1609,1823,N905J,,0,0,0,0,0,0,0,0,0,jan,0,late_afternoon,Santa Barbara Municipal Airport,Santa Barbara,United States,SBA,34.42620087,-119.8399963,Santa Barbara,SBA,Municipal,United States,US,67,SBA
178108,SBN,448.0,UA,3803.0,ORD,20180106,sat,1145,1902,1140,1908,55,66,437,448,11,1940,1902,N460AW,,437,0,11,0,0,0,0,0,0,jan,1,late_morning,South Bend Regional Airport,South Bend,United States,SBN,41.70869827,-86.31729889,South Bend,SBN,South Bend Regional,United States,US,67,SBN
178109,SBP,9.675,AA,5910.0,PHX,20180111,thu,1242,1306,1525,1542,103,96,24,17,-7,1321,1533,N927LR,,3,0,0,0,14,0,0,0,0,jan,1,early_afternoon,San Luis County Regional Airport,San Luis Obispo,United States,SBP,35.23680115,-120.6419983,San Luis Obispo,SBP,County Airport,United States,US,67,SBP
178189,SCC,-6.071428571428571,AS,55.0,BRW,20180220,tue,1014,1002,1108,1046,54,44,-12,-22,-10,1006,1042,N563AS,,0,0,0,0,0,0,0,0,0,feb,0,late_morning,Deadhorse Airport,Deadhorse,United States,SCC,70.19470215,-148.46499630000002,Prudhoe Bay/Deadhorse,SCC,Prudhoe Bay/Deadhorse,United States,US,67,SCC
178245,SCE,6.532467532467533,AA,4187.0,PHL,20180130,tue,600,942,708,1103,68,81,222,235,13,1015,1055,N414ZW,,222,0,13,0,0,0,0,0,0,jan,1,morning,University Park Airport,State College Pennsylvania,United States,SCE,40.84930038,-77.84870148,State College,SCE,University Park,United States,US,67,SCE
178476,SDF,12.271966527196653,UA,4711.0,ORD,20180223,fri,1745,1738,1815,1829,90,111,-7,14,21,1801,1756,N21130,,0,0,0,0,0,0,0,0,0,feb,1,late_afternoon,Louisville International Standiford Field,Louisville,United States,SDF,38.1744,-85.736,Louisville,SDF,Standiford Field,United States,US,67,SDF
179193,SEA,-3.612379110251451,AS,792.0,DTW,20180203,sat,759,822,1522,1521,263,239,23,-1,-24,842,1514,N517AS,,0,0,0,0,0,0,0,0,0,feb,0,morning,Seattle Tacoma International Airport,Seattle,United States,SEA,47.449001,-122.308998,Seattle,SEA,Seattle/tacoma International,United States,US,67,SEA
184363,SFO,0.5261437908496732,AS,325.0,SEA,20180221,wed,1235,1226,1436,1449,121,143,-9,13,22,1253,1442,N302AS,,0,0,0,0,0,0,0,0,0,feb,1,early_afternoon,San Francisco International Airport,San Francisco,United States,SFO,37.61899948,-122.375,San Francisco,SFO,San Francisco International,United States,US,67,SFO
186505,SGF,36.85470085470085,DL,3460.0,ATL,20180221,wed,600,603,858,1003,118,180,3,65,62,739,955,N917XJ,,0,0,65,0,0,0,0,0,0,feb,1,morning,Springfield Branson National Airport,Springfield,United States,SGF,37.24570084,-93.38860321,Springfield,SGF,Springfield-Branson Rg,United States,US,67,SGF
186622,SHV,0.35294117647058826,DL,3891.0,ATL,20180225,sun,1300,1251,1545,1532,105,101,-9,-13,-4,1302,1521,N981EV,,0,0,0,0,0,0,0,0,0,feb,0,early_afternoon,Shreveport Regional Airport,Shreveport,United States,SHV,32.446602,-93.8256,Shreveport,SHV,Regional,United States,US,67,SHV
186741,SIT,4.607142857142857,AS,62.0,KTN,20180201,thu,1200,1155,1256,1245,56,50,-5,-11,-6,1208,1241,N518AS,,0,0,0,0,0,0,0,0,0,feb,0,early_afternoon,Sitka Rocky Gutierrez Airport,Sitka,United States,SIT,57.04710007,-135.36199950000002,Sitka,SIT,Sitka,United States,US,67,SIT
186825,SJC,-1.4404591104734576,AS,837.0,HNL,20180221,wed,905,858,1303,1233,358,335,-7,-30,-23,913,1226,N434AS,,0,0,0,0,0,0,0,0,0,feb,0,late_morning,Norman Y. Mineta San Jose International Airport,San Jose,United States,SJC,37.362598,-121.929001,San Jose,SJC,Mineta San Jose International Airport,United States,US,1,SJC
188219,SJU,-2.4462474645030428,B6,1348.0,DCA,20180221,wed,1905,1917,2159,2204,234,227,12,5,-7,1932,2200,N524JB,,0,0,0,0,0,0,0,0,0,feb,1,evening,Luis Munoz Marin International Airport,San Juan,Puerto Rico,SJU,18.43939972,-66.00180054,San Juan,SJU,Luis Munoz Marin Intl,Puerto Rico,PR,3,SJU
189205,SLC,3.1873252562907735,AA,833.0,CLT,20180212,mon,50,47,638,624,228,217,-3,-14,-11,104,616,N658AW,,0,0,0,0,0,0,0,0,0,feb,0,late_night,Salt Lake City International Airport,Salt Lake City,United States,SLC,40.78839874,-111.97799679999999,Salt Lake City,SLC,International,United States,US,67,SLC
190278,SMF,0.19437751004016066,AS,800.0,SEA,20180204,sun,2025,2005,2225,2208,120,123,-20,-17,3,2016,2155,N519AS,,0,0,0,0,0,0,0,0,0,feb,0,evening,Sacramento International Airport,Sacramento,United States,SMF,38.69540024,-121.5910034,Sacramento,SMF,Sacramento International,United States,US,67,SMF
191523,SNA,0.5177065767284992,WN,1935.0,OAK,20180123,tue,725,724,855,843,90,79,-1,-12,-11,736,837,N779SW,,0,0,0,0,0,0,0,0,0,jan,0,morning,John Wayne Airport-Orange County Airport,Santa Ana,United States,SNA,33.67570114,-117.86799620000001,Santa Ana,SNA,John Wayne,United States,US,67,SNA
192709,SPN,-5.013513513513513,UA,6391.0,ROP,20180205,mon,1330,1315,1405,1355,35,40,-15,-10,5,1325,1350,N14834,,0,0,0,0,0,0,0,0,0,feb,0,early_afternoon,Saipan International Airport,Saipan,Northern Mariana Islands,SPN,15.119000000000002,145.729004,Saipan,SPN,International,Northern Mariana Islands,MP,5,SPN
192857,SRQ,2.8333333333333335,B6,940.0,BOS,20180215,thu,1607,1606,1908,1943,181,217,-1,35,36,1644,1935,N580JB,,0,0,35,0,0,0,0,0,0,feb,1,late_afternoon,Sarasota Bradenton International Airport,Sarasota,United States,SRQ,27.39539909,-82.55439758,Sarasota,SRQ,Sarasota-Bradenton International Airport,United States,US,67,SRQ
192911,STL,0.9072356215213359,WN,5796.0,DSM,20180130,tue,2120,2121,2225,2230,65,69,1,5,4,2135,2226,N7706A,,0,0,0,0,0,0,0,0,0,jan,1,late_evening,St Louis Lambert International Airport,St. Louis,United States,STL,38.748697,-90.370003,St Louis,STL,Lambert-St Louis Intl,United States,US,67,STL
195067,STS,-5.25,AA,5931.0,PHX,20180113,sat,1241,1248,1549,1550,128,122,7,1,-6,1304,1546,N953LR,,0,0,0,0,0,0,0,0,0,jan,1,early_afternoon,Charles M. Schulz Sonoma County Airport,Santa Rosa,United States,STS,38.50899887,-122.8130035,Santa Rosa,STS,Sonoma County,United States,US,67,STS
195087,STT,-12.025641025641026,B6,1035.0,SJU,20180227,tue,1008,951,1049,1020,41,29,-17,-29,-12,959,1016,N317JB,,0,0,0,0,0,0,0,0,0,feb,0,late_morning,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,18.33729935,-64.9733963,St Thomas Island,STT,H.S.Truman,Virgin Islands(U.S.),VI,4,STT
195165,STX,-12.097222222222221,AA,1293.0,MIA,20180224,sat,1629,1645,1845,1920,196,215,16,35,19,1717,1907,N854NN,,0,0,19,0,16,0,0,0,0,feb,1,late_afternoon,Henry E Rohlsen Airport,St. Croix Island,Virgin Islands,STX,17.70190048,-64.79859924,St Croix Island,STX,Alex Hamilton,Virgin Islands(U.S.),VI,4,STX
195237,SWF,-0.7283950617283951,AA,4233.0,PHL,20180114,sun,1040,1028,1146,1123,66,55,-12,-23,-11,1038,1118,N465AW,,0,0,0,0,0,0,0,0,0,jan,0,late_morning,Stewart International Airport,Newburgh,United States,SWF,41.504100799999996,-74.10479736,Newburgh,SWF,Stewart,United States,US,67,SWF
195318,SYR,0.06779661016949153,AA,4323.0,DCA,20180225,sun,940,931,1128,1050,98,79,-9,-28,-19,943,1047,N610AE,,0,0,0,0,0,0,0,0,0,feb,0,late_morning,Syracuse Hancock International Airport,Syracuse,United States,SYR,43.11119843,-76.10630035,Syracuse,SYR,Syracuse Hancock International Airport,United States,US,67,SYR
195849,TLH,19.42222222222222,DL,3869.0,ATL,20180227,tue,1041,1036,1152,1141,71,65,-5,-11,-6,1047,1134,N295PQ,,0,0,0,0,0,0,0,0,0,feb,0,late_morning,Tallahassee Regional Airport,Tallahassee,United States,TLH,30.39649963,-84.35030365,Tallahassee,TLH,Tallahassee Regional Airport,United States,US,67,TLH
195894,TPA,-0.4049715173485241,WN,2637.0,MDW,20180106,sat,1600,1601,1740,1741,160,160,1,1,0,1611,1734,N8606C,,0,0,0,0,0,0,0,0,0,jan,1,late_afternoon,Tampa International Airport,Tampa,United States,TPA,27.97550011,-82.53320313,Tampa,TPA,Tampa International,United States,US,67,TPA
197825,TRI,-10.555555555555555,DL,3347.0,ATL,20180220,tue,950,940,1102,1054,72,74,-10,-8,2,957,1044,N8877A,,0,0,0,0,0,0,0,0,0,feb,0,late_morning,Tri-Cities Regional TN/VA Airport,BRISTOL,United States,TRI,36.475201,-82.40740100000001,Johnson City,TRI,Tri-Cities Regional,United States,US,67,TRI
197915,TUL,1.638036809815951,AA,1292.0,DFW,20180215,thu,1430,1429,1550,1538,80,69,-1,-12,-11,1442,1526,N9622A,,0,0,0,0,0,0,0,0,0,feb,0,early_afternoon,Tulsa International Airport,Tulsa,United States,TUL,36.19839859,-95.88809967,Tulsa,TUL,International,United States,US,67,TUL
198404,TUS,1.431259044862518,AA,5920.0,PHX,20180122,mon,855,856,1021,1003,86,67,1,-18,-19,908,940,N944LR,,0,0,0,0,0,0,0,0,0,jan,0,morning,Tucson International Airport,Tucson,United States,TUS,32.11610031,-110.9410019,Tucson,TUS,International,United States,US,67,TUS
199095,TVC,-0.09782608695652174,UA,3776.0,ORD,20180123,tue,1015,0,1035,0,80,0,0,0,0,0,0,,B,0,0,0,0,0,0,0,0,0,jan,0,late_morning,Cherry Capital Airport,Traverse City,United States,TVC,44.74140167,-85.5821991,Traverse City,TVC,Traverse City,United States,US,67,TVC
199187,TYS,-0.7125382262996942,DL,3446.0,ATL,20180203,sat,1159,1152,1309,1250,70,58,-7,-19,-12,1209,1245,N316PQ,,0,0,0,0,0,0,0,0,0,feb,0,late_morning,McGhee Tyson Airport,Knoxville,United States,TYS,35.81100082,-83.99400329999999,Knoxville,TYS,Mc Ghee Tyson,United States,US,67,TYS
199514,VLD,0.34375,DL,3383.0,ATL,20180222,thu,1143,1149,1303,1307,80,78,6,4,-2,1211,1254,N820AY,,0,0,0,0,0,0,0,0,0,feb,1,late_morning,Valdosta Regional Airport,Valdosta,United States,VLD,30.78249931,-83.27670288,Valdosta,VLD,Regional,United States,US,67,VLD
199578,VPS,0.1792452830188679,AA,2283.0,DFW,20180214,wed,1326,1321,1543,1532,137,131,-5,-11,-6,1339,1524,N9677W,,0,0,0,0,0,0,0,0,0,feb,0,early_afternoon,Destin-Ft Walton Beach Airport,Valparaiso,United States,VPS,30.4832,-86.525398,Valparaiso,VPS,Ft. Walton Beach,United States,US,67,VPS
199684,WRG,-0.8076923076923077,AS,64.0,KTN,20180206,tue,1623,1703,1654,1734,31,31,40,40,0,1708,1729,N644AS,,0,8,0,0,32,0,0,0,0,feb,1,late_afternoon,Wrangell Airport,Wrangell,United States,WRG,56.48429871,-132.36999509999998,Wrangell,WRG,Wrangell SPB,United States,US,67,WRG
199736,XNA,32.80904522613066,AA,4388.0,LGA,20180129,mon,1734,1758,2129,2240,175,222,24,71,47,1843,2213,N423YX,,0,0,49,0,22,0,0,0,0,jan,1,late_afternoon,Northwest Arkansas Regional Airport,Bentonville,United States,XNA,36.281898,-94.30680100000001,Fayetteville,XNA,Northwest Arkansas Rgn,United States,US,67,XNA
199935,YAK,-11.723076923076922,AS,61.0,CDV,20180220,tue,1149,1128,1240,1215,51,47,-21,-25,-4,1132,1211,N524AS,,0,0,0,0,0,0,0,0,0,feb,0,late_morning,Yakutat Airport,Yakutat,United States,YAK,59.50329971,-139.66000369999998,Yakutat,YAK,Yakutat,United States,US,67,YAK
